Cards: JJJJJ, Type: fiveOfAKind, Bid: 171
Cards: 444T4, Type: fourOfAKind, Bid: 654
Cards: 44494, Type: fourOfAKind, Bid: 931
Cards: 44484, Type: fourOfAKind, Bid: 447
Cards: 4444A, Type: fourOfAKind, Bid: 436
Cards: 4444J, Type: fourOfAKind, Bid: 588
Cards: 44447, Type: fourOfAKind, Bid: 48
Cards: 42444, Type: fourOfAKind, Bid: 291
Cards: 33633, Type: fourOfAKind, Bid: 394
Cards: 333T3, Type: fourOfAKind, Bid: 537
Cards: 33393, Type: fourOfAKind, Bid: 101
Cards: 33343, Type: fourOfAKind, Bid: 841
Cards: 3333A, Type: fourOfAKind, Bid: 200
Cards: 3333K, Type: fourOfAKind, Bid: 942
Cards: 3333J, Type: fourOfAKind, Bid: 484
Cards: 33335, Type: fourOfAKind, Bid: 181
Cards: 33233, Type: fourOfAKind, Bid: 591
Cards: 2K222, Type: fourOfAKind, Bid: 807
Cards: 2TTTT, Type: fourOfAKind, Bid: 97
Cards: 27222, Type: fourOfAKind, Bid: 773
Cards: 22Q22, Type: fourOfAKind, Bid: 705
Cards: 22J22, Type: fourOfAKind, Bid: 46
Cards: 22822, Type: fourOfAKind, Bid: 613
Cards: 22242, Type: fourOfAKind, Bid: 69
Cards: 22225, Type: fourOfAKind, Bid: 193
Cards: AAAQQ, Type: fullHouse, Bid: 272
Cards: AAAJJ, Type: fullHouse, Bid: 143
Cards: AAKAK, Type: fullHouse, Bid: 320
Cards: AA9A9, Type: fullHouse, Bid: 652
Cards: AA2A2, Type: fullHouse, Bid: 186
Cards: A5A55, Type: fullHouse, Bid: 533
Cards: A333A, Type: fullHouse, Bid: 400
Cards: KK66K, Type: fullHouse, Bid: 166
Cards: QAQQA, Type: fullHouse, Bid: 889
Cards: QQ77Q, Type: fullHouse, Bid: 189
Cards: QJJQQ, Type: fullHouse, Bid: 509
Cards: Q888Q, Type: fullHouse, Bid: 456
Cards: Q5Q5Q, Type: fullHouse, Bid: 4
Cards: Q5Q55, Type: fullHouse, Bid: 321
Cards: Q33Q3, Type: fullHouse, Bid: 725
Cards: JKKJK, Type: fullHouse, Bid: 736
Cards: JJ999, Type: fullHouse, Bid: 403
Cards: JJ6J6, Type: fullHouse, Bid: 192
Cards: JJ555, Type: fullHouse, Bid: 649
Cards: J88JJ, Type: fullHouse, Bid: 389
Cards: J444J, Type: fullHouse, Bid: 205
Cards: J333J, Type: fullHouse, Bid: 322
Cards: J22J2, Type: fullHouse, Bid: 742
Cards: TJJJT, Type: fullHouse, Bid: 211
Cards: TTKKK, Type: fullHouse, Bid: 135
Cards: TTJJT, Type: fullHouse, Bid: 483
Cards: TTTAA, Type: fullHouse, Bid: 167
Cards: TT44T, Type: fullHouse, Bid: 664
Cards: TT22T, Type: fullHouse, Bid: 684
Cards: T6TT6, Type: fullHouse, Bid: 105
Cards: 99A9A, Type: fullHouse, Bid: 308
Cards: 99K9K, Type: fullHouse, Bid: 130
Cards: 99922, Type: fullHouse, Bid: 329
Cards: 99669, Type: fullHouse, Bid: 98
Cards: 99333, Type: fullHouse, Bid: 378
Cards: 98899, Type: fullHouse, Bid: 779
Cards: 96669, Type: fullHouse, Bid: 312
Cards: 95559, Type: fullHouse, Bid: 7
Cards: 8AA88, Type: fullHouse, Bid: 783
Cards: 8KK8K, Type: fullHouse, Bid: 976
Cards: 8J8J8, Type: fullHouse, Bid: 550
Cards: 88KK8, Type: fullHouse, Bid: 377
Cards: 88666, Type: fullHouse, Bid: 761
Cards: 88484, Type: fullHouse, Bid: 435
Cards: 87878, Type: fullHouse, Bid: 621
Cards: 7A77A, Type: fullHouse, Bid: 690
Cards: 7K7K7, Type: fullHouse, Bid: 313
Cards: 7T7TT, Type: fullHouse, Bid: 780
Cards: 79997, Type: fullHouse, Bid: 245
Cards: 78877, Type: fullHouse, Bid: 774
Cards: 77AAA, Type: fullHouse, Bid: 890
Cards: 77J7J, Type: fullHouse, Bid: 573
Cards: 77337, Type: fullHouse, Bid: 666
Cards: 76677, Type: fullHouse, Bid: 263
Cards: 72277, Type: fullHouse, Bid: 234
Cards: 66Q6Q, Type: fullHouse, Bid: 701
Cards: 66776, Type: fullHouse, Bid: 2
Cards: 666JJ, Type: fullHouse, Bid: 493
Cards: 65565, Type: fullHouse, Bid: 662
Cards: 62266, Type: fullHouse, Bid: 27
Cards: 5K5K5, Type: fullHouse, Bid: 183
Cards: 5T55T, Type: fullHouse, Bid: 427
Cards: 58588, Type: fullHouse, Bid: 271
Cards: 57757, Type: fullHouse, Bid: 213
Cards: 56566, Type: fullHouse, Bid: 645
Cards: 55775, Type: fullHouse, Bid: 158
Cards: 55522, Type: fullHouse, Bid: 680
Cards: 4AAA4, Type: fullHouse, Bid: 463
Cards: 4Q44Q, Type: fullHouse, Bid: 843
Cards: 4T44T, Type: fullHouse, Bid: 951
Cards: 49994, Type: fullHouse, Bid: 991
Cards: 49449, Type: fullHouse, Bid: 319
Cards: 47474, Type: fullHouse, Bid: 237
Cards: 46466, Type: fullHouse, Bid: 853
Cards: 45454, Type: fullHouse, Bid: 962
Cards: 44K4K, Type: fullHouse, Bid: 293
Cards: 44646, Type: fullHouse, Bid: 808
Cards: 43344, Type: fullHouse, Bid: 667
Cards: 3A3AA, Type: fullHouse, Bid: 453
Cards: 3QQ3Q, Type: fullHouse, Bid: 414
Cards: 38338, Type: fullHouse, Bid: 442
Cards: 37373, Type: fullHouse, Bid: 622
Cards: 36633, Type: fullHouse, Bid: 932
Cards: 2A2A2, Type: fullHouse, Bid: 221
Cards: 2QQ22, Type: fullHouse, Bid: 772
Cards: 26622, Type: fullHouse, Bid: 681
Cards: 23323, Type: fullHouse, Bid: 29
Cards: 22992, Type: fullHouse, Bid: 697
Cards: 22442, Type: fullHouse, Bid: 881
Cards: AAAK4, Type: threeOfAKind, Bid: 926
Cards: AAAQT, Type: threeOfAKind, Bid: 231
Cards: AAAQ9, Type: threeOfAKind, Bid: 252
Cards: AAQAK, Type: threeOfAKind, Bid: 514
Cards: AAQA7, Type: threeOfAKind, Bid: 511
Cards: AA5AJ, Type: threeOfAKind, Bid: 987
Cards: AA4JA, Type: threeOfAKind, Bid: 72
Cards: AA24A, Type: threeOfAKind, Bid: 544
Cards: AKAA8, Type: threeOfAKind, Bid: 80
Cards: AJ666, Type: threeOfAKind, Bid: 934
Cards: AJ2AA, Type: threeOfAKind, Bid: 643
Cards: ATT2T, Type: threeOfAKind, Bid: 506
Cards: A99K9, Type: threeOfAKind, Bid: 150
Cards: A85AA, Type: threeOfAKind, Bid: 602
Cards: A7AAJ, Type: threeOfAKind, Bid: 625
Cards: A6AA8, Type: threeOfAKind, Bid: 569
Cards: A44Q4, Type: threeOfAKind, Bid: 122
Cards: A3AAJ, Type: threeOfAKind, Bid: 451
Cards: A2ATA, Type: threeOfAKind, Bid: 998
Cards: A29AA, Type: threeOfAKind, Bid: 445
Cards: KAJKK, Type: threeOfAKind, Bid: 206
Cards: KKTKJ, Type: threeOfAKind, Bid: 37
Cards: KK84K, Type: threeOfAKind, Bid: 104
Cards: KK82K, Type: threeOfAKind, Bid: 555
Cards: KQAQQ, Type: threeOfAKind, Bid: 887
Cards: KQKKT, Type: threeOfAKind, Bid: 840
Cards: KQJKK, Type: threeOfAKind, Bid: 55
Cards: KJK8K, Type: threeOfAKind, Bid: 127
Cards: KJ888, Type: threeOfAKind, Bid: 581
Cards: K9499, Type: threeOfAKind, Bid: 406
Cards: K8KK6, Type: threeOfAKind, Bid: 75
Cards: K75KK, Type: threeOfAKind, Bid: 566
Cards: K6646, Type: threeOfAKind, Bid: 184
Cards: K4KK5, Type: threeOfAKind, Bid: 974
Cards: K44J4, Type: threeOfAKind, Bid: 901
Cards: K222T, Type: threeOfAKind, Bid: 767
Cards: QQAQ2, Type: threeOfAKind, Bid: 280
Cards: QQK4Q, Type: threeOfAKind, Bid: 679
Cards: QQQJT, Type: threeOfAKind, Bid: 801
Cards: QQQT9, Type: threeOfAKind, Bid: 298
Cards: QQQ7J, Type: threeOfAKind, Bid: 852
Cards: QQQ6J, Type: threeOfAKind, Bid: 160
Cards: QQQ29, Type: threeOfAKind, Bid: 450
Cards: QQ7AQ, Type: threeOfAKind, Bid: 224
Cards: QQ43Q, Type: threeOfAKind, Bid: 277
Cards: QJ9QQ, Type: threeOfAKind, Bid: 73
Cards: QJ333, Type: threeOfAKind, Bid: 874
Cards: Q9995, Type: threeOfAKind, Bid: 961
Cards: Q8KKK, Type: threeOfAKind, Bid: 223
Cards: Q7QQK, Type: threeOfAKind, Bid: 719
Cards: Q5585, Type: threeOfAKind, Bid: 52
Cards: Q48QQ, Type: threeOfAKind, Bid: 644
Cards: Q3393, Type: threeOfAKind, Bid: 747
Cards: Q2822, Type: threeOfAKind, Bid: 883
Cards: JK2KK, Type: threeOfAKind, Bid: 990
Cards: JTAAA, Type: threeOfAKind, Bid: 164
Cards: JTJ3J, Type: threeOfAKind, Bid: 835
Cards: J9333, Type: threeOfAKind, Bid: 282
Cards: J8666, Type: threeOfAKind, Bid: 805
Cards: J8555, Type: threeOfAKind, Bid: 757
Cards: J6J7J, Type: threeOfAKind, Bid: 768
Cards: J6888, Type: threeOfAKind, Bid: 260
Cards: J42JJ, Type: threeOfAKind, Bid: 392
Cards: J3336, Type: threeOfAKind, Bid: 597
Cards: J3222, Type: threeOfAKind, Bid: 508
Cards: J2242, Type: threeOfAKind, Bid: 825
Cards: TA4TT, Type: threeOfAKind, Bid: 571
Cards: TQTJT, Type: threeOfAKind, Bid: 739
Cards: TJTT3, Type: threeOfAKind, Bid: 11
Cards: TTJAT, Type: threeOfAKind, Bid: 969
Cards: TTT86, Type: threeOfAKind, Bid: 734
Cards: TTT5Q, Type: threeOfAKind, Bid: 354
Cards: TTT43, Type: threeOfAKind, Bid: 239
Cards: TT8T2, Type: threeOfAKind, Bid: 753
Cards: TT7TJ, Type: threeOfAKind, Bid: 373
Cards: TT25T, Type: threeOfAKind, Bid: 765
Cards: T9399, Type: threeOfAKind, Bid: 78
Cards: T8A88, Type: threeOfAKind, Bid: 997
Cards: T8Q88, Type: threeOfAKind, Bid: 919
Cards: T8688, Type: threeOfAKind, Bid: 877
Cards: T69TT, Type: threeOfAKind, Bid: 904
Cards: T4J44, Type: threeOfAKind, Bid: 611
Cards: T2TTJ, Type: threeOfAKind, Bid: 119
Cards: T2333, Type: threeOfAKind, Bid: 53
Cards: T2322, Type: threeOfAKind, Bid: 250
Cards: 9K333, Type: threeOfAKind, Bid: 108
Cards: 9JTTT, Type: threeOfAKind, Bid: 895
Cards: 9J222, Type: threeOfAKind, Bid: 405
Cards: 9TTKT, Type: threeOfAKind, Bid: 580
Cards: 9TT2T, Type: threeOfAKind, Bid: 716
Cards: 999J6, Type: threeOfAKind, Bid: 358
Cards: 97Q77, Type: threeOfAKind, Bid: 488
Cards: 979Q9, Type: threeOfAKind, Bid: 939
Cards: 955K5, Type: threeOfAKind, Bid: 71
Cards: 94474, Type: threeOfAKind, Bid: 884
Cards: 92949, Type: threeOfAKind, Bid: 885
Cards: 92522, Type: threeOfAKind, Bid: 578
Cards: 8A8Q8, Type: threeOfAKind, Bid: 163
Cards: 8A788, Type: threeOfAKind, Bid: 302
Cards: 889A8, Type: threeOfAKind, Bid: 235
Cards: 88837, Type: threeOfAKind, Bid: 954
Cards: 88568, Type: threeOfAKind, Bid: 665
Cards: 88538, Type: threeOfAKind, Bid: 297
Cards: 88478, Type: threeOfAKind, Bid: 296
Cards: 83777, Type: threeOfAKind, Bid: 663
Cards: 83363, Type: threeOfAKind, Bid: 365
Cards: 8333A, Type: threeOfAKind, Bid: 688
Cards: 7KKKJ, Type: threeOfAKind, Bid: 334
Cards: 7KK8K, Type: threeOfAKind, Bid: 475
Cards: 7J787, Type: threeOfAKind, Bid: 894
Cards: 7TA77, Type: threeOfAKind, Bid: 64
Cards: 7888J, Type: threeOfAKind, Bid: 692
Cards: 77J73, Type: threeOfAKind, Bid: 36
Cards: 777K8, Type: threeOfAKind, Bid: 545
Cards: 777Q5, Type: threeOfAKind, Bid: 619
Cards: 7779J, Type: threeOfAKind, Bid: 327
Cards: 77798, Type: threeOfAKind, Bid: 249
Cards: 7767J, Type: threeOfAKind, Bid: 306
Cards: 77678, Type: threeOfAKind, Bid: 650
Cards: 77578, Type: threeOfAKind, Bid: 913
Cards: 77357, Type: threeOfAKind, Bid: 83
Cards: 75595, Type: threeOfAKind, Bid: 806
Cards: 74877, Type: threeOfAKind, Bid: 915
Cards: 7477J, Type: threeOfAKind, Bid: 42
Cards: 6K333, Type: threeOfAKind, Bid: 345
Cards: 6Q665, Type: threeOfAKind, Bid: 251
Cards: 6JQ66, Type: threeOfAKind, Bid: 809
Cards: 6TTTA, Type: threeOfAKind, Bid: 677
Cards: 6T866, Type: threeOfAKind, Bid: 136
Cards: 69K99, Type: threeOfAKind, Bid: 443
Cards: 67K77, Type: threeOfAKind, Bid: 749
Cards: 67686, Type: threeOfAKind, Bid: 655
Cards: 6665K, Type: threeOfAKind, Bid: 220
Cards: 65667, Type: threeOfAKind, Bid: 536
Cards: 64944, Type: threeOfAKind, Bid: 397
Cards: 6266K, Type: threeOfAKind, Bid: 616
Cards: 5A525, Type: threeOfAKind, Bid: 441
Cards: 5QJ55, Type: threeOfAKind, Bid: 238
Cards: 5J999, Type: threeOfAKind, Bid: 248
Cards: 5J595, Type: threeOfAKind, Bid: 750
Cards: 5J552, Type: threeOfAKind, Bid: 411
Cards: 577T7, Type: threeOfAKind, Bid: 402
Cards: 57779, Type: threeOfAKind, Bid: 504
Cards: 55765, Type: threeOfAKind, Bid: 324
Cards: 556J5, Type: threeOfAKind, Bid: 791
Cards: 55235, Type: threeOfAKind, Bid: 34
Cards: 54446, Type: threeOfAKind, Bid: 429
Cards: 53999, Type: threeOfAKind, Bid: 977
Cards: 4Q2QQ, Type: threeOfAKind, Bid: 968
Cards: 4J666, Type: threeOfAKind, Bid: 755
Cards: 4TTT9, Type: threeOfAKind, Bid: 201
Cards: 48424, Type: threeOfAKind, Bid: 328
Cards: 47222, Type: threeOfAKind, Bid: 657
Cards: 44K64, Type: threeOfAKind, Bid: 187
Cards: 44J49, Type: threeOfAKind, Bid: 279
Cards: 44934, Type: threeOfAKind, Bid: 385
Cards: 4464A, Type: threeOfAKind, Bid: 208
Cards: 44642, Type: threeOfAKind, Bid: 273
Cards: 44467, Type: threeOfAKind, Bid: 748
Cards: 43337, Type: threeOfAKind, Bid: 888
Cards: 42454, Type: threeOfAKind, Bid: 425
Cards: 3A633, Type: threeOfAKind, Bid: 992
Cards: 3KKKJ, Type: threeOfAKind, Bid: 132
Cards: 3KKQK, Type: threeOfAKind, Bid: 617
Cards: 3T733, Type: threeOfAKind, Bid: 204
Cards: 39QQQ, Type: threeOfAKind, Bid: 803
Cards: 3833T, Type: threeOfAKind, Bid: 462
Cards: 373Q3, Type: threeOfAKind, Bid: 547
Cards: 36J66, Type: threeOfAKind, Bid: 68
Cards: 3666T, Type: threeOfAKind, Bid: 634
Cards: 33K3A, Type: threeOfAKind, Bid: 198
Cards: 33573, Type: threeOfAKind, Bid: 764
Cards: 33342, Type: threeOfAKind, Bid: 930
Cards: 2AA6A, Type: threeOfAKind, Bid: 599
Cards: 2KJJJ, Type: threeOfAKind, Bid: 812
Cards: 2JQQQ, Type: threeOfAKind, Bid: 704
Cards: 2T252, Type: threeOfAKind, Bid: 639
Cards: 29993, Type: threeOfAKind, Bid: 44
Cards: 28T88, Type: threeOfAKind, Bid: 790
Cards: 25545, Type: threeOfAKind, Bid: 416
Cards: 252K2, Type: threeOfAKind, Bid: 144
Cards: 24A44, Type: threeOfAKind, Bid: 274
Cards: 23722, Type: threeOfAKind, Bid: 178
Cards: 22Q25, Type: threeOfAKind, Bid: 146
Cards: 22J2A, Type: threeOfAKind, Bid: 115
Cards: 22J2T, Type: threeOfAKind, Bid: 417
Cards: 22J27, Type: threeOfAKind, Bid: 727
Cards: 2282T, Type: threeOfAKind, Bid: 286
Cards: 22729, Type: threeOfAKind, Bid: 789
Cards: AAQJQ, Type: twoPair, Bid: 494
Cards: AA7Q7, Type: twoPair, Bid: 724
Cards: AA55K, Type: twoPair, Bid: 175
Cards: AA557, Type: twoPair, Bid: 257
Cards: AQTAQ, Type: twoPair, Bid: 955
Cards: AJKKA, Type: twoPair, Bid: 310
Cards: A9KAK, Type: twoPair, Bid: 936
Cards: A8A22, Type: twoPair, Bid: 253
Cards: A7K7K, Type: twoPair, Bid: 982
Cards: A7J7A, Type: twoPair, Bid: 61
Cards: A722A, Type: twoPair, Bid: 541
Cards: A55JJ, Type: twoPair, Bid: 523
Cards: A4A54, Type: twoPair, Bid: 391
Cards: A446A, Type: twoPair, Bid: 496
Cards: A25A2, Type: twoPair, Bid: 912
Cards: KAATK, Type: twoPair, Bid: 710
Cards: KKAQA, Type: twoPair, Bid: 986
Cards: KK77Q, Type: twoPair, Bid: 350
Cards: KK775, Type: twoPair, Bid: 980
Cards: KK727, Type: twoPair, Bid: 601
Cards: KK4J4, Type: twoPair, Bid: 111
Cards: KK232, Type: twoPair, Bid: 242
Cards: KJ33J, Type: twoPair, Bid: 816
Cards: KTTJJ, Type: twoPair, Bid: 326
Cards: K7K33, Type: twoPair, Bid: 821
Cards: K6K22, Type: twoPair, Bid: 501
Cards: K6JKJ, Type: twoPair, Bid: 925
Cards: K5KJ5, Type: twoPair, Bid: 682
Cards: K558K, Type: twoPair, Bid: 409
Cards: QQ9J9, Type: twoPair, Bid: 928
Cards: QQ677, Type: twoPair, Bid: 859
Cards: QJ44Q, Type: twoPair, Bid: 169
Cards: QT4TQ, Type: twoPair, Bid: 689
Cards: Q6464, Type: twoPair, Bid: 826
Cards: Q5Q56, Type: twoPair, Bid: 715
Cards: Q3Q99, Type: twoPair, Bid: 88
Cards: Q3366, Type: twoPair, Bid: 865
Cards: Q2Q82, Type: twoPair, Bid: 258
Cards: Q2Q42, Type: twoPair, Bid: 432
Cards: JQ5Q5, Type: twoPair, Bid: 562
Cards: JJKK3, Type: twoPair, Bid: 513
Cards: JJT8T, Type: twoPair, Bid: 685
Cards: JJ383, Type: twoPair, Bid: 896
Cards: J9595, Type: twoPair, Bid: 746
Cards: J955J, Type: twoPair, Bid: 950
Cards: J9292, Type: twoPair, Bid: 390
Cards: J8K8J, Type: twoPair, Bid: 914
Cards: J5588, Type: twoPair, Bid: 770
Cards: J4554, Type: twoPair, Bid: 241
Cards: J44J9, Type: twoPair, Bid: 56
Cards: J4343, Type: twoPair, Bid: 431
Cards: J3J63, Type: twoPair, Bid: 873
Cards: J2277, Type: twoPair, Bid: 502
Cards: TAT5A, Type: twoPair, Bid: 557
Cards: TA3A3, Type: twoPair, Bid: 197
Cards: TKAKT, Type: twoPair, Bid: 366
Cards: TQQ99, Type: twoPair, Bid: 134
Cards: TJQQT, Type: twoPair, Bid: 317
Cards: TJ77T, Type: twoPair, Bid: 723
Cards: TJ6JT, Type: twoPair, Bid: 154
Cards: TJ66T, Type: twoPair, Bid: 752
Cards: TTQ6Q, Type: twoPair, Bid: 703
Cards: TTJ9J, Type: twoPair, Bid: 466
Cards: TT889, Type: twoPair, Bid: 269
Cards: TT344, Type: twoPair, Bid: 993
Cards: TT2J2, Type: twoPair, Bid: 729
Cards: T99T6, Type: twoPair, Bid: 525
Cards: T994T, Type: twoPair, Bid: 552
Cards: T993T, Type: twoPair, Bid: 762
Cards: T8558, Type: twoPair, Bid: 838
Cards: 9A2A9, Type: twoPair, Bid: 564
Cards: 9KKJ9, Type: twoPair, Bid: 330
Cards: 9J9JT, Type: twoPair, Bid: 333
Cards: 9TT29, Type: twoPair, Bid: 656
Cards: 99QQ7, Type: twoPair, Bid: 686
Cards: 997Q7, Type: twoPair, Bid: 712
Cards: 989J8, Type: twoPair, Bid: 190
Cards: 979A7, Type: twoPair, Bid: 275
Cards: 97988, Type: twoPair, Bid: 376
Cards: 977J9, Type: twoPair, Bid: 653
Cards: 96296, Type: twoPair, Bid: 359
Cards: 95589, Type: twoPair, Bid: 819
Cards: 93669, Type: twoPair, Bid: 35
Cards: 8KK86, Type: twoPair, Bid: 54
Cards: 8KQQK, Type: twoPair, Bid: 872
Cards: 8K8KA, Type: twoPair, Bid: 958
Cards: 8J8KK, Type: twoPair, Bid: 792
Cards: 89398, Type: twoPair, Bid: 419
Cards: 887T7, Type: twoPair, Bid: 120
Cards: 88696, Type: twoPair, Bid: 256
Cards: 86A86, Type: twoPair, Bid: 869
Cards: 84948, Type: twoPair, Bid: 156
Cards: 82686, Type: twoPair, Bid: 415
Cards: 7AJJ7, Type: twoPair, Bid: 418
Cards: 7QQKK, Type: twoPair, Bid: 140
Cards: 7QQ33, Type: twoPair, Bid: 24
Cards: 7JJK7, Type: twoPair, Bid: 796
Cards: 7J744, Type: twoPair, Bid: 267
Cards: 799AA, Type: twoPair, Bid: 196
Cards: 778J8, Type: twoPair, Bid: 28
Cards: 77494, Type: twoPair, Bid: 693
Cards: 77388, Type: twoPair, Bid: 65
Cards: 766J7, Type: twoPair, Bid: 412
Cards: 755J7, Type: twoPair, Bid: 384
Cards: 74547, Type: twoPair, Bid: 95
Cards: 6A99A, Type: twoPair, Bid: 728
Cards: 6A55A, Type: twoPair, Bid: 155
Cards: 6J556, Type: twoPair, Bid: 629
Cards: 6J363, Type: twoPair, Bid: 542
Cards: 6TTQ6, Type: twoPair, Bid: 281
Cards: 6T22T, Type: twoPair, Bid: 763
Cards: 67768, Type: twoPair, Bid: 558
Cards: 66949, Type: twoPair, Bid: 572
Cards: 6677K, Type: twoPair, Bid: 500
Cards: 65596, Type: twoPair, Bid: 470
Cards: 646J4, Type: twoPair, Bid: 270
Cards: 636KK, Type: twoPair, Bid: 278
Cards: 5KK5Q, Type: twoPair, Bid: 351
Cards: 5JA5A, Type: twoPair, Bid: 440
Cards: 5J58J, Type: twoPair, Bid: 814
Cards: 595A9, Type: twoPair, Bid: 959
Cards: 56KK6, Type: twoPair, Bid: 338
Cards: 56688, Type: twoPair, Bid: 60
Cards: 55Q8Q, Type: twoPair, Bid: 917
Cards: 557K7, Type: twoPair, Bid: 290
Cards: 553A3, Type: twoPair, Bid: 439
Cards: 54AA5, Type: twoPair, Bid: 810
Cards: 53QQ5, Type: twoPair, Bid: 592
Cards: 53544, Type: twoPair, Bid: 325
Cards: 522KK, Type: twoPair, Bid: 16
Cards: 4JKKJ, Type: twoPair, Bid: 515
Cards: 49J94, Type: twoPair, Bid: 100
Cards: 49977, Type: twoPair, Bid: 922
Cards: 488Q4, Type: twoPair, Bid: 758
Cards: 48845, Type: twoPair, Bid: 285
Cards: 47884, Type: twoPair, Bid: 387
Cards: 46846, Type: twoPair, Bid: 659
Cards: 45458, Type: twoPair, Bid: 804
Cards: 45335, Type: twoPair, Bid: 261
Cards: 44ATA, Type: twoPair, Bid: 374
Cards: 44Q33, Type: twoPair, Bid: 289
Cards: 44772, Type: twoPair, Bid: 827
Cards: 43437, Type: twoPair, Bid: 216
Cards: 3QJQJ, Type: twoPair, Bid: 740
Cards: 3Q23Q, Type: twoPair, Bid: 369
Cards: 3TTJ3, Type: twoPair, Bid: 5
Cards: 3T553, Type: twoPair, Bid: 670
Cards: 39923, Type: twoPair, Bid: 735
Cards: 39369, Type: twoPair, Bid: 672
Cards: 36A63, Type: twoPair, Bid: 352
Cards: 35775, Type: twoPair, Bid: 909
Cards: 34543, Type: twoPair, Bid: 985
Cards: 33AA9, Type: twoPair, Bid: 341
Cards: 33JKK, Type: twoPair, Bid: 973
Cards: 33J88, Type: twoPair, Bid: 454
Cards: 2A92A, Type: twoPair, Bid: 303
Cards: 2A2AQ, Type: twoPair, Bid: 159
Cards: 2QK2Q, Type: twoPair, Bid: 587
Cards: 2J2QJ, Type: twoPair, Bid: 81
Cards: 2T7T7, Type: twoPair, Bid: 627
